,0,1
1063,24.0,11.78
1064,17.0,10.5
1065,28.0,11.95
1066,23.0,11.71
1067,28.0,13.11
1068,30.0,16.43
1069,15.0,8.68
1070,20.0,10.17
1071,37.0,12.25
1072,20.0,9.96
1073,29.0,16.92
1074,31.0,22.22
1075,33.0,12.26
1076,33.0,17.18
1077,26.0,18.89
1078,32.0,20.0
1079,31.0,20.78
1080,49.0,27.67
1081,39.0,30.0
1082,25.0,17.0
1083,40.0,16.85
1084,15.0,6.58
1085,50.0,31.33
1086,13.0,7.81
1087,39.0,21.4
1088,16.0,8.12
1089,41.0,21.7
1090,27.0,17.1
1091,32.0,24.56
1092,25.0,11.94
1093,31.0,14.5
1094,79.0,38.4
1095,31.0,13.82
1096,33.0,16.17
1097,31.0,16.29
1098,28.0,17.15
1099,23.0,13.0
1100,62.0,36.0
1101,45.0,22.22
1102,40.0,26.62
1103,74.0,37.8
1104,46.0,21.67
1105,51.0,28.0
1106,37.0,23.75
1107,72.0,26.88
1108,75.0,32.5
1109,55.0,22.5
1110,34.0,16.54
1111,37.0,15.0
1112,31.0,18.0
1113,36.0,23.89
1114,61.0,41.0
1115,47.0,26.86
1116,43.0,28.0
1117,48.0,27.88
1118,42.0,17.55
1119,37.0,11.05
1120,34.0,16.31
1121,51.0,21.0
1122,47.0,21.0
1123,41.0,20.88
1124,61.0,35.0
1125,55.0,25.14
1126,77.0,30.14
1127,25.0,14.76
1128,47.0,32.0
1129,29.0,13.12
1130,60.0,21.8
1131,34.0,20.89
1132,55.0,20.09
1133,30.0,16.46
1134,34.0,21.9
1135,51.0,32.33
1136,57.0,31.0
1137,41.0,13.35
1138,35.0,26.0
1139,46.0,33.2
1140,82.0,45.2
1141,46.0,24.38
1142,46.0,26.0
1143,58.0,30.57
1144,52.0,17.38
1145,28.0,13.71
1146,41.0,11.06
1147,44.0,21.11
1148,56.0,24.2
1149,34.0,24.44
1150,28.0,16.9
1151,51.0,23.8
1152,32.0,18.08
1153,38.0,19.55
1154,39.0,16.27
1155,52.0,35.0
1156,32.0,23.44
1157,45.0,37.4
1158,57.0,30.83
1159,46.0,22.56
1160,59.0,39.8
1161,47.0,28.83
1162,55.0,31.17
1163,51.0,23.0
1164,30.0,18.27
1165,30.0,13.4
1166,51.0,25.33
1167,149.0,69.67
1168,39.0,22.0
1169,62.0,18.91
1170,32.0,16.38
1171,51.0,32.17
1172,54.0,17.5
1173,78.0,31.12
1174,38.0,27.25
1175,70.0,35.17
1176,41.0,15.87
1177,48.0,17.23
1178,55.0,34.8
1179,31.0,15.07
1180,42.0,32.0
1181,42.0,28.5
1182,71.0,34.8
1183,54.0,24.44
1184,62.0,28.62
1185,40.0,27.71
1186,36.0,25.14
1187,39.0,21.88
1188,34.0,23.89
1189,57.0,32.83
1190,60.0,32.5
1191,52.0,26.88
1192,47.0,17.07
1193,47.0,29.0
1194,34.0,16.38
1195,40.0,21.2
1196,59.0,28.14
1197,31.0,26.5
1198,105.0,48.25
1199,43.0,24.0
1200,52.0,28.57
1201,45.0,22.38
1202,97.0,34.33
1203,49.0,27.0
